Transaction ID,Amount,Date
1,100.50,2023-09-01
2,75.25,2023-09-02
3,150.00,2023-09-03
4,200.75,2023-09-04
5,50.00,2023-09-05
6,600.25,2023-10-01
7,600.25,2023-01-10
8,700.25,2023-10-02
9,1500.0,2023-10-11
10,2560.0,2023-10-02
11,3000.0,2023-10-02
12,4250.0,2023-10-02
13,4500.0,2023-10-02
14,4759.0,2023-02-10
15,4900.0,2023-10-02
16,5100.0,2023-10-03
17,5300.0,2023-10-02
18,5500.0,2023-10-02
19,6000.0,2023-02-11
20,6500.0,2023-02-11
21,7000.0,2023-10-12
22,7500.0,2023-10-19
23,8000.0,2023-10-08
24,8500.0,2023-10-09
25,9000.0,2023-10-05
26,9500.0,2023-05-18
27,10000.0,2023-05-18
28,4500.0,2023-05-19
29,5600.0,2023-05-23
30,6000.0,2023-08-19
31,6600.0,2023-10-02
32,6700.0,2023-10-05
33,4560.0,2023-04-15
34,234.0,2023-01-01
35,100.0,2023-01-02
36,123.0,2022-12-02
37,2022.0,2022-01-02
38,2340.0,2023-05-18
39,8900.0,2023-01-01
40,9450.0,2023-02-01
41,890.0,2023-10-09
42,7893.0,2023-09-08
43,200.0,2023-10-05
44,250.0,2023-10-05
45,350.0,2023-10-06
46,450.0,2023-10-09
47,500.0,2023-10-09
